date_created,company_name,company_number,status,cohort,postcode,company_type,sic_codes,registered_office
1990-06-07,CJJ HOLDINGS LIMITED,NI024553,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,99999,"{'address_line_1': '43 Lockview Road', 'locality': 'Belfast', 'postal_code': 'BT9 5FJ', 'region': 'Co Antrim'}"
1990-06-07,CJJ HOLDINGS LIMITED,NI024553,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,99999,"{'address_line_1': '43 Lockview Road', 'locality': 'Belfast', 'postal_code': 'BT9 5FJ', 'region': 'Co Antrim'}"
1990-06-01,JH INDUSTRIAL CLEANING SERVICES LIMITED,NI024532,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,96090,"{'address_line_1': 'Waterfront Plaza', 'address_line_2': '8 Laganbank Road', 'locality': 'Belfast', 'postal_code': 'BT1 3LR'}"
1990-06-01,JH INDUSTRIAL CLEANING SERVICES LIMITED,NI024532,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,96090,"{'address_line_1': 'Waterfront Plaza', 'address_line_2': '8 Laganbank Road', 'locality': 'Belfast', 'postal_code': 'BT1 3LR'}"
1990-05-29,KAREN MORTLOCK TRUST-THE,NI024511,dissolved,Wincham – Greenfield Farm,CW12 4TR,private-limited-guarant-nsc-limited-exemption,88990,"{'address_line_1': '20 Rosemary Street', 'locality': 'Belfast', 'postal_code': 'BT1 1QD', 'region': 'Co Antrim', 'country': 'Northern Ireland'}"
1990-05-29,KAREN MORTLOCK TRUST-THE,NI024511,dissolved,Adrem – Albert Chambers,CW12 4AA,private-limited-guarant-nsc-limited-exemption,88990,"{'address_line_1': '20 Rosemary Street', 'locality': 'Belfast', 'postal_code': 'BT1 1QD', 'region': 'Co Antrim', 'country': 'Northern Ireland'}"
1990-05-14,VISION ENTERTAINMENT IRELAND LIMITED,NI024477,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,,"{'address_line_1': 'First Floor,Suite 1 Benmore House', 'address_line_2': '343/353 Lisburn Road', 'locality': 'Belfast', 'postal_code': 'BT9 7EP'}"
1990-05-14,ABBEY LUMBER (U.K) LIMITED,NI024470,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,46730,"{'address_line_1': 'Forsyth House', 'address_line_2': 'Cromac Square', 'locality': 'Belfast', 'postal_code': 'BT2 8LA', 'region': 'Co Antrim'}"
1990-05-14,VISION ENTERTAINMENT IRELAND LIMITED,NI024477,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,,"{'address_line_1': 'First Floor,Suite 1 Benmore House', 'address_line_2': '343/353 Lisburn Road', 'locality': 'Belfast', 'postal_code': 'BT9 7EP'}"
1990-05-14,ABBEY LUMBER (U.K) LIMITED,NI024470,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,46730,"{'address_line_1': 'Forsyth House', 'address_line_2': 'Cromac Square', 'locality': 'Belfast', 'postal_code': 'BT2 8LA', 'region': 'Co Antrim'}"
